24
A	0	-0.306	-0.346
B	1	-0.306	-0.346
C	2	-0.306	-0.346
D	3	-0.138	-0.163
E	4	-0.306	-0.346
F	5	-0.306	-0.346
G	6	-0.121	 0.040
H	7	-0.273	 0.288
I	8	-0.273	 0.288
J	9	-0.273	 0.288
K	10	-0.053	 0.288
L	11	-0.053	 0.288
M	12	-0.106	 0.032
N	13	-0.026	 0.225
O	14	-0.258	 0.279
P	15	-0.026	 0.225
Q	16	 1.000	-0.090
R	17	 0.074	-0.034
S	18	 0.096	-0.023
T	19	 0.087	 0.007
U	20	 0.516	-0.054
V	21	 0.516	-0.054
W	22	 0.516	-0.054
X	23	 0.324	-0.045
72
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
1	2	1
1	3	1
1	4	1
1	5	1
2	3	1
2	4	1
2	5	1
3	4	1
3	5	1
3	6	1
3	12	1
3	17	1
4	5	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
6	12	1
6	17	1
7	8	1
7	9	1
7	10	1
7	11	1
8	9	1
8	10	1
8	11	1
9	10	1
9	11	1
10	11	0.5
10	12	1
10	13	1
10	14	1
10	15	1
10	19	1
11	12	1
11	13	1
11	14	1
11	15	1
11	19	1
12	13	1
12	14	1
12	15	1
12	17	1
12	19	1
13	14	1
13	15	1
13	19	1
14	15	1
14	15	1
15	19	1
16	20	3
16	21	3
16	22	3
16	23	3
17	18	0.2
17	19	0.2
17	23	1
18	19	0.2
18	23	1
19	23	1
20	21	1
20	22	1
20	23	1
21	22	1
21	23	1
22	23	1
