47
NodeS1  0
NodeS24 1
NodeS30 2
NodeS35 3
NodeT1  4
NodeT8  5
NodeT24 6
NodeT30 7
NodeT35 8
Node2   9
Node3   10
Node4   11
Node5   12
Node6   13
Node7   14
Node9   15
Node10  16
Node11  17
Node12  18
Node13  19
Node14  20
Node15  21
Node16  22
Node17  23
Node18  24
Node19  25
Node20  26
Node21  27
Node22  28
Node23  29
Node25  30
Node26  31
Node27  32
Node28  33
Node29  34
Node31  35
Node32  36
Node33  37
Node34  38
Node36  39
Node37  40
Node38  41
Node39  42
Node40  43
Node41  44
Node42  45
Node43  46
68
0   9
0   16
1   32
1   30
2   35
2   37
3   39
3   46
9   10
9   22
9   23
9   4
9   24
10   11
11   12
11   45
12   13
12   8
12   29
13   14
14   5
15   45
15   4
16   17
16   20
16   4
16   19
16   18
17   11
18   34
19   25
20   21
21   4
22   21
23   25
24   34
25   27
25   26
25   33
26   21
27   28
28   29
28   8
29   6
29   4
30   4
30   31
31   11
32   6
33   34
34   7
35   4
35   36
36   29
37   7
37   38
38   34
39   25
40   42
40   44
40   41
40   43
41   11
42   21
43   25
44   34
46   41
46   43
