17
Energy_drink    	0
Oolong_tea      	1
Green_tea			2
Darjeeling_tea		3
Onigiri         	4
Salad           	5
Coffee          	6
Candy           	7
Melon-pan       	8
Donut           	9
Pasta           	10
Ramen           	11
Mint_Gum        	12
Cake            	13
Milk                14
Pizza               15
Chocolate           16
33
0   16
1	4
1   5
1	11
1   12
1   15
2   5
2	7
3   5
3   9
3   11
3   15
5   15
4	5
4   8
4   10
4   12
4   16
5   13
5   15
6   7
7   0
7   1
7   3
8   10
8   14
8   15
9   14
12  14
12  16
13  14
14  15
15  16
