24
A	 1.000	94.360	79.011
B	 1.000	160.892	139.684
C	 1.000	250.802	119.012
D	 1.000	229.893	186.072
E	 1.000	287.099	57.727
F	 1.000	191.210	53.416
G	 1.000	163.394	268.691
H	 1.000	70.371	328.080
I	 1.000	73.736	419.453
J	 1.000	70.018	241.786
K	 1.000	162.330	374.281
L	 1.000	182.004	336.914
M	 1.000	245.559	310.172
N	 1.000	296.360	442.853
O	 1.000	192.242	451.783
P	 1.000	246.171	384.616
Q	 1.000	465.018	168.925
R	 1.000	310.672	257.256
S	 1.000	433.987	409.561
T	 1.000	326.559	350.877
U	 1.000	441.089	79.867
V	 1.000	471.230	259.417
W	 1.000	377.509	160.322
X	 1.000	401.495	264.224
72
0	1
0	2
0	3
0	4
0	5
1	2
1	3
1	4
1	5
2	3
2	4
2	5
3	4
3	5
3	6
3	12
3	17
4	5
6	7
6	8
6	9
6	10
6	11
6	12
6	17
7	8
7	9
7	10
7	11
8	9
8	10
8	11
9	10
9	11
10	11
10	12
10	13
10	14
10	15
10	19
11	12
11	13
11	14
11	15
11	19
12	13
12	14
12	15
12	17
12	19
13	14
13	15
13	19
14	15
14	15
15	19
16	20
16	21
16	22
16	23
17	18
17	19
17	23
18	19
18	23
19	23
20	21
20	22
20	23
21	22
21	23
22	23
