35
annotatedlabel_Marden
label_Cannon
label_Epstein
anotatedlabel_Conway
label_Taylor
annotatedlabel_Almgren
label_Freedman
annotatedlabel_Milnor
label_Douady
annotatedlabel_Hubard
annotatedlabel_Mandelbrot
label_Wilks
annotatedlabel_Dobkin
label_Chazelle
label_Peskin
annotatedlabel_Tarjan
label_Mumford
label_Thurston
annotatedlabel_ldt
label_ds
label_kt
label_cd
annotatedlabel_fg
label_ggt
annotatedlabel_hg
label_kg
label_sg
annotatedlabel_lat
label_vd
label_cv
annotatedlabel_crys
label_gcv
annotatedlabel_cg
label_fd
label_gv
108
0   18
0   25
0   24
1   18
1   25
1   23
2   25
2   18
2   23
2   24
3   23
3   20
3   24
3   27
3   28
4   30
4   28
4   31
4   33
5   30
5   28
5   31
5   33
6   31
6   18
6   19
7   18
7   21
7   19
7   24
7   20
8   21
8   19
8   25
9   19
9   21
9   25
9   22
10   21
10   22
10   25
11   26
11   34
11   21
11   32
12   34
12   28
12   32
13   32
13   34
13   28
14   33
14   31
14   34
15   32
15   24
16   25
16   32
16   29
16   31
16   30
17   23
17   28
17   32
17   34
17   25
17   21
17   18
17   20
18   19
18   23
18   24
18   20
18   21
19   23
19   21
19   22
19   26
20   24
20   25
21   22
21   25
22   25
22   26
23   27
23   24
24   27
24   28
24   32
24   25
25   28
26   dv
26   34
26   29
27   30
27   28
28   30
28   31
28   29
29   28
29   31
29   32
29   34
30   33
30   31
31   33
31   32
32   33

