24
A	 1.000	245.692	67.281
B	 1.000	296.396	184.013
C	 1.000	332.283	58.564
D	 1.000	323.809	124.578
E	 1.000	372.139	206.398
F	 1.000	416.674	90.470
G	 1.000	214.323	152.373
H	 1.000	57.916	195.610
I	 1.000	134.991	189.259
J	 1.000	87.878	95.678
K	 1.000	146.845	279.652
L	 1.000	80.811	296.904
M	 1.000	218.887	431.750
N	 1.000	171.259	362.515
O	 1.000	129.374	445.029
P	 1.000	62.749	412.229
Q	 1.000	337.437	403.774
R	 1.000	267.412	333.663
S	 1.000	307.067	260.855
T	 1.000	238.070	252.175
U	 1.000	453.617	246.619
V	 1.000	447.789	330.940
W	 1.000	437.948	419.004
X	 1.000	362.637	304.667
80
0	1
0	2
0	3
0	4
0	5
0	6
1	2
1	3
1	4
1	5
1	6
1	17
1	18
1	19
1	23
2	3
2	4
2	5
2	6
3	4
3	5
3	6
4	5
4	6
4	16
4	20
4	21
4	22
4	23
5	6
6	7
6	8
6	9
6	10
6	11
7	8
7	9
7	10
7	11
8	9
8	10
8	11
9	10
9	11
10	11
10	12
10	13
10	14
10	15
11	12
11	13
11	14
11	15
12	13
12	14
12	15
12	16
12	17
13	14
13	15
13	16
13	17
14	15
16	17
16	20
16	21
16	22
16	23
17	18
17	19
17	23
18	19
18	23
19	23
20	21
20	22
20	23
21	22
21	23
22	23
