24
A	0	 0.012	-0.562
B	1	 0.258	-0.238
C	2	 0.012	-0.562
D	3	 0.012	-0.562
E	4	 0.012	-0.562
F	5	 0.012	-0.562
G	6	-0.230	-0.319
H	7	-0.642	-0.225
I	8	-0.642	-0.225
J	9	-0.642	-0.225
K	10	-0.694	 0.069
L	11	-0.694	 0.069
M	12	-0.214	 0.653
N	13	-0.214	 0.653
O	14	-0.622	 0.510
P	15	-0.622	 0.510
Q	16	 0.035	 0.678
R	17	 0.294	 0.340
S	18	 0.483	 0.055
T	19	 0.483	 0.055
U	20	 1.000	 0.124
V	21	 1.000	 0.124
W	22	 1.000	 0.124
X	23	 0.602	 0.082
80
0	1	1
0	2	1
0	3	1
0	4	1
0	5	1
0	6	1
1	2	1
1	3	1
1	4	1
1	5	1
1	6	1
1	17	1
1	18	1
1	19	1
1	23	1
2	3	1
2	4	1
2	5	1
2	6	1
3	4	1
3	5	1
3	6	1
4	5	1
4	6	1
4	16	6
4	20	3
4	21	3
4	22	3
4	23	3
5	6	1
6	7	1
6	8	1
6	9	1
6	10	1
6	11	1
7	8	1
7	9	1
7	10	1
7	11	1
8	9	1
8	10	1
8	11	1
9	10	1
9	11	1
10	11	0.5
10	12	1
10	13	1
10	14	1
10	15	1
11	12	1
11	13	1
11	14	1
11	15	1
12	13	0.5
12	14	1
12	15	1
12	16	1
12	17	1
13	14	1
13	15	1
13	16	1
13	17	1
14	15	1
16	17	1
16	20	3
16	21	3
16	22	3
16	23	3
17	18	1
17	19	1
17	23	1
18	19	1
18	23	1
19	23	1
20	21	1
20	22	1
20	23	1
21	22	1
21	23	1
22	23	1
